공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01471548,2026-04-23,경상남도 사천시,용현하수처리구역 하수관로 정비사업,백경건설(주),121712540,90.301,
R26BK01472133,2026-04-23,제주특별자치도 제주시 추자면,추자올레 인도교 및 수변공원 조성사업 항로표지 설치공사,주식회사 엠에스엘테크놀로지,270000000,90.242,298335000
R26BK01471997,2026-04-23,전남광주통합특별시 무안청사,평여119안전센터 신축공사(건축),주식회사 시지종합건설,1907193980,89.413,
R26BK01446042,2026-04-23,대전광역시 유성구,방동 수변공간 여가숲 조성사업,(주)우리조경건설,3571369000,89.335,
R26BK01470997,2026-04-23,강원특별자치도교육청 강원특별자치도춘천교육지원청,2026년 공립학교 수목 병충해 방제,주식회사성원티씨,112777671,90.443,
R26BK01451349,2026-04-23,해양수산부 울산지방해양수산청,2026년 유·무인등대 도장공사,주식회사 대득건설,35786178,90.535,
R26BK01472785,2026-04-23,전남광주통합특별시교육청 전남광주통합특별시광주동부교육지원청,광주북성중 강당동 방수공사 수의계약 안내공고,주식회사 바른색,119533690,90.019,
R26BK01471795,2026-04-23,경상남도 창원시,2026년 노후 CCTV카메라 교체공사,데이타콤,46724000,90.483,
R26BK01471055,2026-04-23,국토교통부 부산지방국토관리청 대구국토관리사무소,국도25호선 상주권역 등 3권역 도로시설물 정비공사,주식회사 일근,353753000,91.638,
R26BK01472365,2026-04-23,경상남도 창원시 의창구,북면 감계리 1422 구거 정비공사,지안건설 주식회사,37890000,90.557,
R26BK01470291,2026-04-23,경기도 수원시 팔달구,화서문로~행궁동 행정복지센터 인근 도로정비공사,주식회사 건동,66412800,90.834,
R26BK01472555,2026-04-23,전남광주통합특별시교육청 전남광주통합특별시광주동부교육지원청,일곡초 강당 방수공사 수의계약 안내공고,주식회사 금태건설,107674410,90.311,
R26BK01472100,2026-04-23,경상북도 상주시,내서 낙서리(숫골) 농업용 암반관정 설치공사,주식회사 대경이앤씨,108867451,90.463,
R26BK01474087,2026-04-23,경상남도 진주시,시청사 쓰레기 수거장 교체공사,(주)광명건설,44484470,90.347,
R26BK01471729,2026-04-23,전남광주통합특별시 곡성군,2026년 경제수 조림사업(죽곡 유봉지구),곡성군산림조합,48707201,90.23,54594000
R26BK01473225,2026-04-23,서울특별시,2026년 한강공원 수영장 기계설비 보수공사,주식회사 주인정보시스템,332357900,90.328,
R26BK01452087,2026-04-23,조달청 인천지방조달청,관내 지하차도 통합관리센터 분리공사(통신),소울테크(주),267093400,90.126,
R26BK01484463,2026-04-23,경기도 안성시,고삼작은도서관 리모델링 공사(건축),주식회사 제이엠건설,48000000,96.819,
R26BK01474131,2026-04-23,인천광역시 옹진군,굴업리 경로당 신축공사,성인종합건설 주식회사,337835000,90.998,
R26BK01462652,2026-04-23,해양수산부 국립해양측위정보원,포항 Loran 송신국 정비공사,(주)데이타콤,221581060,90.427,
R26BK01474146,2026-04-23,서울특별시 용산구,효창공원 노후화 시설물 정비사업,수국조경개발(주),99128400,90.288,
R26BK01468126,2026-04-23,대구광역시 서구,평리로72길 일원 하수관로 정비공사,주식회사 호영산업개발,169755500,90.343,
R26BK01472506,2026-04-23,충청북도 충주시,2026년산불진화임도공사(용탄절골지구),주식회사 누리뫼,713867580,90.279,
R26BK01467880,2026-04-23,충청남도 당진시,농공단지 기반시설 노후구간 정비공사,(유)승후건설,40371600,90.353,
R26BK01458591,2026-04-23,충청남도교육청 충청남도청양교육지원청,청양교육지원청 외 1기관 냉난방개선 기계설비공사,공영건설 주식회사,26794160,90.99,
R26BK01467702,2026-04-23,인천광역시 경제자유구역청,청라 커낼웨이 친수문화공간 조성사업,(주)엠코이앤씨,196222380,90.265,
R26BK01472967,2026-04-23,한국철도공사 회계통합센터,고속선 천안아산역 등 2역 영상감시설비 개량공사,주식회사 대한전력,157308447,90.264,
R26BK01473974,2026-04-23,경기도 용인시,2026년 대각선횡단보도 설치공사(전기),대광전기,58928210,89.96,
R26BK01464254,2026-04-23,경상북도 경주시 사적관리사무소,불국 구정리 방형분 주변 예초 공사,주식회사 푸른정원,20699650,90.351,
R26BK01474159,2026-04-23,강원특별자치도교육청 강원특별자치도원주교육지원청,[긴급]흥업초 교사동 강원형 학교시설 증개축 전기공사,(주)동양기전,739476725,90.403,
R26BK01474109,2026-04-23,경찰청 충청북도경찰청,괴산경찰서 칠성파출소 재건축공사(변경3),주식회사 아름종합건설,454271600,90.372,
R26BK01470456,2026-04-23,충청남도 아산시,2026년 온양온천역 철도하부공간 비둘기 방지망 설치공사,삼성온실건설주식회사,88090700,89.937,
R26BK01474048,2026-04-23,한국농어촌공사 경북지역본부,2026년 영천시 지하수 보조측정망 시추공사,(주)태흥건설,109355030,90.278,
R26BK01481314,2026-04-23,한국농어촌공사 전남지역본부 진도지사,2026년 소포 외 3지구 용배수로 수문 보수공사,(주)중부기계,19500000,91.851,
R26BK01482373,2026-04-23,서울특별시 은평소방서,2026년 은평소방서 녹번119안전센터 수관건조대 개선 공사,블루코스텍 주식회사,15520000,97.0,
R26BK01471787,2026-04-23,대구광역시 군위군,동부리 도시계획도로(소2-11) 정비공사,성보건설(주),76109880,90.296,
R26BK01460978,2026-04-23,경상북도 남부건설사업소,국도59호선 김천 (조마)지구 포장도 보수공사,주식회사 대서건설,55205880,91.077,
