공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01256263,2026-01-15,선린대학 산학협력단,(RISE)믿음관 1층 첨단실습실 구축 공사(건축),(주) 아트라인,94000000,63.087,
R26BK01265864,2026-01-20,(사)한국야구위원회,2026 KBO 퓨처스리그 자동투구판정시스템 운영 대행 사업,스포츠투아이 주식회사,1018000000,96.952,
R25BK01243585,2026-01-02,기아타이거즈 주식회사,AI 기반 마케팅 통합 플랫폼 (WEB·APP·CRM) 고도화 용역,주식회사 플랫폼엔,500000000,,
R26BK01287641,2026-01-28,한국불교문화사업단,2026년도 템플스테이 및 사찰음식 관련 조사 통합 용역 입찰,(주)한국갤럽조사연구소,95000000,,
R25BK01250975,2026-01-13,사회복지법인 세이브더칠드런코리아,2026 세이브더칠드런 서울지역 국제어린이마라톤,(주)빅워크,150000000,,
R25BK01242485,2026-01-15,(사)한국야구위원회,KBO Next-Level Training Camp,(주)인투인커뮤니케이션,1355899600,99.904,
R25BK01242957,2026-01-09,(사)한국야구위원회,2026 KBO 비디오판독센터 사업 대행업체 선정,주식회사 담시스템즈,2328500000,100.0,
R26BK01277023,2026-01-23,당진도시공사,합덕반다비수영장 및 남부문화스포츠센터 및 송악문화스포츠센터 통합 시설관리용역,인솔국제기술주식회사,2537128000,88.005,2879370000
R26BK01256931,2026-01-21,주식회사 케이티스포츠,2026 kt wiz park 장치장식물 기획 및 시공,주식회사 피앤디디자인컴퍼니,925789500,,
R26BK01263948,2026-01-20,조달청,"기업혁신파크(춘천, 포항) 사업성 분석 등에 관한 연구",삼덕회계법인,572000000,,
R26BK01269916,2026-01-26,사회복지법인 한국생명의전화,2026년 청소년 생명존중사업 SNS 홍보콘텐츠 제작 및 운영 용역,비크라우드 주식회사,148180000,,
