공고번호,날짜,발주기관,공고명,1순위업체,사업자번호,대표자,투찰금액,투찰률,기초금액,A값,A값적용,예가하한,예가상한,참가업체수
R26BK01693749,2026-08-28,경상북도 경주시,폐가정비사업 지장물(동천동 733-276) 철거공사,영남개발(주),,,33980890,90.221,37510000,1711246,Y,-3.0,3.0,37
R26BK01695446,2026-08-28,울산광역시 북구,신명N2지구 급경사지 보수·보강공사,주식회사 동광개발,,,36831360,91.121,40690000,5366191,Y,-3.0,3.0,138
R26BK01696110,2026-08-28,인천광역시 옹진군,백령 군도34호선 해안도로 가로등 정비공사,주식회사 에너지드림,,,86132509,90.268,96048000,4322003,Y,-3.0,3.0,17
R26BK01696119,2026-08-28,전남광주통합특별시 광양시,백운산 산림복지단지 숲어울림 전기공사,주식회사 디에스이피에스,,,97769320,93.236,104914200,7679838,Y,-3.0,3.0,129
R26BK01694594,2026-08-28,충청남도 부여군,2026년 부여군 경관개선을 위한 관광지역 활성화사업,주식회사 백제석예원,,,95846000,90.135,106375000,3717000,Y,-3.0,3.0,20
R26BK01695985,2026-08-28,재단법인창원문화재단,2026 창원조각비엔날레 전시장 공간 조성 공사,(주)이음디자인,,,141278000,90.051,157300000,4597357,Y,-3.0,3.0,222
R26BK01695758,2026-08-28,제주특별자치도,저지광역수원 노후 전기설비 교체 전기공사,대명전력 주식회사,,,68172993,89.956,76653000,1486111,Y,-3.0,3.0,396
R26BK01694227,2026-08-28,경상북도 울릉군,어린이집 보육교직원 관사 리모델링 전기공사,주식회사 스타전력,,,37173290,90.435,41250000,2131635,Y,-3.0,3.0,10
R26BK01664371,2026-08-28,조달청 대전지방조달청,장하2지구 배수개선사업 토목공사,서원종합건설 주식회사,,,8944264000,88.73,10023855000,950834729,Y,-2.0,2.0,122
R26BK01693870,2026-08-28,경상북도 울릉군,어린이집 보육교직원 관사 리모델링 건축공사,디와이건설 주식회사,,,167454770,90.782,186446000,10066957,Y,-3.0,3.0,6
R26BK01695797,2026-08-28,한국수산자원공단 남해본부,26년 거제 소규모바다목장 날개부를가진어초 제작 및 설치,미성종합건설 주식회사,,,138612350,90.374,153845000,9405945,Y,-3.0,3.0,688
R26BK01695389,2026-08-28,한국농어촌공사 제주지역본부,신흥1리 마을만들기 자율개발사업 “생이사랑방 문화거점센터조성” 건축공사,주식회사 벽진,,,254468540,90.226,281832000,13243024,Y,-2.0,2.0,301
R26BK01695698,2026-08-28,제주특별자치도,제주하수처리장 탈취설비 활성탄 교체공사 (사업소),주식회사 일오,,,52695800,89.982,58830000,1331437,Y,-3.0,3.0,79
R26BK01690920,2026-08-28,충남대학교병원,충남대학교병원 제1철골주차장 보수공사(2차-소방),우경전기(주),,,226672470,90.826,246956000,14817883,Y,-2.0,2.0,186
R26BK01694181,2026-08-28,한국농어촌공사 충남지역본부 당진지사,대호2배수갑문 권양기(3호기) 와이어로프 교체공사,광희엔지니어링(주),,,8500000,93.099,,,,,,1
R26BK01692861,2026-08-28,충청북도 음성군,대소읍 박장대소 복합거점센터 및 상상공연장 조성사업 건축공사,(합자)대양산업개발,,,6517770000,88.674,7304627000,415559838,Y,-3.0,3.0,196
R26BK01670474,2026-08-28,충청북도교육청 충청북도학생수련원,충북학생수영장 다층여과기 여과재 교체 및 기타공사,엔탑컨버전스 주식회사,,,107162000,89.97,118530000,2595356,Y,-3.0,3.0,174
R26BK01694969,2026-08-28,전북특별자치도 전주시,2026년 전주시 관내 지방하천 예초공사(단가계약),유한회사 보영조경,,,89299880,89.772,100000000,155043,Y,-3.0,3.0,115
R26BK01695513,2026-08-28,강원특별자치도 춘천시,2026년 춘천시 관내 도로노면표시 도색공사(강남지구),강원포장건설(주),,,124408130,90.407,137429000,8771608,Y,-3.0,3.0,105
R26BK01670991,2026-08-28,한국환경공단,"화성시 도시침수 대응사업(발안, 사강지구)",(주)가야건설,,,13406622000,84.281,15779690000,1228526991,Y,-3.0,3.0,100
R26BK01693690,2026-08-28,경상북도 경주시,문무대왕면 홍계마을 경로당 개축공사(입찰대행),주식회사 보태건설,,,226484990,90.242,248065000,12109777,Y,-3.0,3.0,62
R26BK01680153,2026-08-28,사회복지법인 서정길대주교재단 수지의집,수지의집 담장 및 옹벽 개보수 공사,주식회사 성아토건,,,99371190,90.189,109307000,4623372,Y,-3.0,3.0,6
R26BK01695960,2026-08-28,경상남도 고성군,스포츠타운 축구장(3구장) 인조잔디 교체공사 견적 제출 공고,백산개발 주식회사,,,45141900,90.52,50000000,3251647,Y,-3.0,3.0,29
R26BK01689258,2026-08-28,산림청 북부지방산림청 민북지역국유림관리소,"2026년 산림복원사업(기번3, 두무) 제한경쟁입찰",화천군산림조합,,,176446270,87.766,200860000,,N,-2.0,2.0,29
R26BK01685935,2026-08-28,대구광역시 남구,이천동 행정복지센터 건립 통신공사,주식회사 대창이엔씨,,,165054440,90.449,182534000,12303765,Y,-3.0,3.0,350
R26BK01694505,2026-08-28,경상북도 안동시,풍천 공공하수처리장 악취방지시설 개선 전기공사,다우전기(주),,,72331000,90.203,79508000,3415596,Y,-3.0,3.0,114
R26BK01695741,2026-08-28,경기도 남양주시 도로관리사업소,2026년 가로·보안등 유지보수공사 단가계약(2권역_2차),주식회사 금원,,,29474572,90.22,32673494,1510447,Y,-3.0,3.0,211
R26BK01695208,2026-08-28,세종특별자치시,평기1지구 농업기반시설(관정) 설치공사,주식회사 성현엔지니어링,,,55361440,90.068,61634000,1401246,Y,-3.0,3.0,14
R26BK01695234,2026-08-28,전북특별자치도 고창군,고창읍성 앞 인도 정비공사,유한회사 파란건설,,,31451720,90.383,35183000,2091014,Y,-3.0,3.0,27
R26BK01692690,2026-08-28,한국수산자원공단제주본부,2026년 제주도 바리류 산란서식장 조성사업 사각교차형 인공어초 제작 및 시설,세일종합건설주식회사,,,300684000,90.321,336954000,18369329,Y,-3.0,3.0,183
R26BK01692671,2026-08-27,충청북도 옥천군 청산면,청산 법화리 배수로 및 농로정비공사,대일산업건설(주),,,27389995,90.286,30529000,1432206,Y,-3.0,3.0,50
R26BK01694101,2026-08-28,충청북도 음성군,맹동면 도시계획도로(대로1-1) 차선도색공사,우림건설 주식회사,,,158318440,90.177,175065000,5957128,Y,-3.0,3.0,30
R26BK01693838,2026-08-28,인천환경공단,중화탑 보강 공사,(주)가림이엔지,,,156072600,90.434,173690000,11499652,Y,-3.0,3.0,242
R26BK01695872,2026-08-28,강원특별자치도 춘천시,2026년 춘천시 관내 도로노면표시 도색공사(근화지구)(특허공법),고탑건설 주식회사,,,146474322,90.277,161881000,8391119,Y,-3.0,3.0,105
R26BK01693633,2026-08-28,강원특별자치도 삼척시,교동6통 경로당 그린리모델링공사(건축),한국유리산업 주식회사,,,32323371,90.292,36094000,1600203,Y,-3.0,3.0,18
R26BK01694037,2026-08-28,경상북도 포항시,포항 농산물도매시장 석면철거에 따른 천장 개체 전기공사,유일파워텍 주식회사,,,103137750,90.583,114551000,8868356,Y,-3.0,3.0,193
R26BK01694200,2026-08-28,경상북도 영주시 수도사업소,봉현면 오현4리 뒷밭지구 지방상수도 전환사업,주식회사 서진건설,,,98521532,90.659,108000000,8694416,Y,-3.0,3.0,40
R26BK01691150,2026-08-28,경상북도 포항시,포항 농산물도매시장 석면철거 공사,주식회사 창진건설,,,558060685,90.571,612009000,48920622,Y,-3.0,3.0,190
R26BK01695842,2026-08-28,경기도 평택시,(남부)2026년 물빛수변공원 등 2개소 수초 제거 공사(하반기),주식회사 그린피크,,,26886330,89.852,29881000,312844,Y,-3.0,3.0,102
R26BK01695673,2026-08-28,전북특별자치도 익산시,읍면동 마을안길보수 단가계약(7차),주식회사 이룩,,,7574074,90.088,8535543,212930,Y,-3.0,3.0,85
R26BK01695029,2026-08-28,경상북도 구미시,해평농공단지 환경정비공사,주식회사 화신건설,,,97293614,90.721,107510000,10118252,Y,-3.0,3.0,61
R26BK01693880,2026-08-28,경기도 가평군,2026년 가로숲길 경관환경 개선사업,주식회사 채움조경,,,152190700,90.572,169940000,11213246,Y,-3.0,3.0,14
R26BK01701359,2026-08-27,(주)세기,2026년 세기 산업계 에너지관리시스템_계측인프라 구축,주식회사 에코시안,,,39138000,100.0,,,,,,1
R26BK01692852,2026-08-28,경기도 여주시,무촌지구 소규모 배수개선사업 전기공사,주식회사 용성아이티,,,137963700,90.225,152893000,6965199,Y,-3.0,3.0,62
R26BK01693626,2026-08-28,강원특별자치도 삼척시,삼척교사거리 교통개선에 따른 전기공사,주식회사경동,,,75894240,90.28,84910000,4166434,Y,-3.0,3.0,53
R26BK01693635,2026-08-28,강원특별자치도 삼척시,상거노2리 경로당 그린리모델링공사(건축),주식회사 바름,,,102282400,90.355,113437000,5260349,Y,-3.0,3.0,18
R26BK01695115,2026-08-28,인천광역시 연수구,인천상륙작전기념관 부근 도로정비공사,와이에이치 주식회사,,,99367121,90.008,110414000,2761398,Y,-3.0,3.0,186
R26BK01695383,2026-08-28,대구공공시설관리공단,팔공로(공산터널~백안삼거리) 포장보수공사,대도토건(주),,,102859090,90.802,113540000,11625421,Y,-3.0,3.0,193
R26BK01693887,2026-08-28,전남광주통합특별시 해남소방서,문내119지역대 증축 공사(전기),주식회사에쓰엔지,,,95528400,90.468,106792000,7446715,Y,-3.0,3.0,1418
R26BK01696059,2026-08-28,충청남도 보령시,섬문화예술플랫폼 진입도로 가로등 설치공사(토목),거성건설 주식회사,,,29330800,90.119,32439000,1156022,Y,-3.0,3.0,38
R26BK01694649,2026-08-28,전남광주통합특별시 화순군,2026년 주요 도로변 덩굴제거사업(능주지구),유한회사 담송,,,57076800,90.291,63006000,715606,Y,-3.0,3.0,17
R26BK01695169,2026-08-28,경기도 의정부시,회룡로 및 신곡로 일원 LED가로등기구 교체 공사,주식회사 삼원전기,,,37015515,89.93,41274000,548550,Y,-3.0,3.0,66
R26BK01695850,2026-08-28,부산광역시 사상구,낙동대로 1048번길 일원 보도정비공사,대명건설주식회사,,,110573610,90.393,121932000,7710923,Y,-3.0,3.0,257
R26BK01693158,2026-08-28,경기도 수원시 권선구,늘푸른공원 노후 시설물 정비공사,동호산업주식회사,,,172380560,90.801,190807000,19122909,Y,-3.0,3.0,78
R26BK01694137,2026-08-28,전북특별자치도 전주시,용복동 313번지 일원 농로 포장사업,주식회사 드림하임,,,37230070,90.18,40766000,1588564,Y,-3.0,3.0,72
R26BK01695718,2026-08-28,전북특별자치도 익산시,2026년 자전거도로 가로환경 정비공사,유한회사 은산,,,15287000,90.423,16734000,890358,Y,-3.0,3.0,45
R26BK01695631,2026-08-28,강원특별자치도 춘천시,2026년 춘천시 관내 도로노면표시 도색공사(신사우동지구),합자회사 일정,,,133428269,90.445,148056000,9568682,Y,-3.0,3.0,105
R26BK01691049,2026-08-28,경북대학교병원,하이브리드 수술실 구축공사(건축)(재공고),주식회사 대하건설,,,490847000,91.556,534368627,21130096,Y,-2.0,2.0,6
R26BK01695988,2026-08-28,충청남도교육청 충청남도서천교육지원청,서천고등학교 태양광 발전설비(주차 차양) 설치 전기공사,부자전기,,,42046290,90.25,46689000,2128539,Y,-3.0,3.0,41
R26BK01693744,2026-08-28,경상북도 경주시,내남 지방도904호선 인도개설공사,백호건설(주),,,70827790,90.616,78320000,6585478,Y,-3.0,3.0,137
R26BK01702030,2026-08-27,서울특별시 물재생센터 난지물재생센터,난지물재생센터 UPS용 배터리 교체 공사,주식회사 해진건설,,,12445000,95.0,,,,,,1
R26BK01694300,2026-08-28,강원특별자치도 강릉시,2026년 강릉시 바다숲 조성사업,주식회사 우건,,,82028445,90.423,90860000,5434647,Y,-3.0,3.0,83
R26BK01693841,2026-08-28,강원특별자치도 화천군,2026년 군도 및 농어촌도로 차선도색공사(하남면),범호건설 주식회사,,,69963650,90.287,78086000,3755255,Y,-3.0,3.0,31
R26BK01702331,2026-08-28,경기도 이천시 환경수자원국 하수과,2026년 이천시 맨홀추락방지망 설치공사,강산건설주식회사,,,32959800,90.909,,,,,,1
R26BK01702523,2026-08-28,경상남도 합천군 농업기술센터,7.16.~20.집중호우 산사태 재해복구사업(가회월계지구),창녕군산림조합,,,319272000,83.919,,,,,,1
R26BK01695653,2026-08-28,경상북도 성주군,2026년도 동락지구 군직영 골재판매장 골재선별 및 상차 대행사업(1차)【단가계약】(재공고),대민개발주식회사,,,6240,96.994,6500,103,Y,-3.0,3.0,2
R26BK01695879,2026-08-28,제주특별자치도 서귀포시,대정농공단지 폐수처리장 철거공사(2차),주식회사연우개발,,,50090700,89.905,55355000,864988,Y,-3.0,3.0,62
R26BK01696101,2026-08-28,전남광주통합특별시 광양시,백운산 산림복지단지 숲어울림 소방공사,(주)제철공무,,,99821938,90.598,111771000,7280869,Y,-3.0,3.0,28
R26BK01692038,2026-08-28,경기도교육청 옥빛고등학교,옥빛고 친환경 운동장(인조잔디 및 트랙) 조성 공사,대영건설 주식회사,,,125159800,90.269,139342000,6378653,Y,-3.0,3.0,113
R26BK01693207,2026-08-28,충청북도 옥천군 군북면,군북면 도로변 풀베기 사업(하반기),(주)그린산업개발,,,33082100,90.38,36500000,2220900,Y,-3.0,3.0,21
R26BK01695834,2026-08-28,전남광주통합특별시 상수도사업본부 동북수도사업소,2026년 긴급누수복구공사 연간단가계약(북구3권역) 2차,서산이앤씨(주),,,190189170,90.209,210000000,9130410,Y,-3.0,3.0,143
R26BK01682445,2026-08-28,전북특별자치도교육청 전북특별자치도정읍교육지원청,정남초 본관동 외 1동(돌봄교실) 내진보강공사 입찰공고,유한회사 신태양건설,,,217937611,90.322,239963000,13548568,Y,-3.0,3.0,1003
R26BK01692229,2026-08-28,경기도교육청 경기도성남교육지원청,복정초 태양광 발전장치 설치 전기공사,주식회사 솔라위즈,,,32626772,90.138,36012000,1372451,Y,-3.0,3.0,185
R26BK01691282,2026-08-28,중소기업은행,창원카드영업센터 이전 건축공사,유한회사 열방건설,,,51227000,90.835,56870000,1181579,Y,-2.0,2.0,10
R26BK01693022,2026-08-27,충청남도 홍성군 수도사업소,『2026년 홍성군 3권역 긴급누수 보수공사(2차) (단가계약) 소액수의 견적 제출 안내공고,(주)에치엠건설,,,45264000,90.667,50000000,2598510,Y,-3.0,3.0,8
R26BK01689015,2026-08-28,국립창원대학교,국립창원대학교 2026년 학내 토목조경 보수공사(4차),주식회사 동산건설,,,85509400,90.257,94824800,4577979,Y,-2.0,2.0,19
R26BK01683608,2026-08-28,조달청 서울지방조달청,이천시 동요역사관 건립사업 건축공사,한국화성건설(주),,,3449389670,89.464,3907284000,245753378,Y,-3.0,3.0,1228
R26BK01690786,2026-08-28,충남대학교병원,충남대학교병원 제1철골주차장 보수공사(2차-건축),주식회사 대주일일구,,,1954214540,91.316,2133289000,88965578,Y,-2.0,2.0,285
R26BK01694700,2026-08-28,충청남도 금산군,금산자연치유정원 조성공사(전기),태양전기통신 주식회사,,,96680910,90.565,107940000,7057434,Y,-3.0,3.0,
R26BK01693110,2026-08-28,세종특별자치시교육청,세종도원초 급식시설 현대화 기계설비공사 수의계약 안내공고,(주)미래티엔에이,,,186331625,90.602,208769000,10616054,Y,-3.0,3.0,34
R26BK01695481,2026-08-28,전북특별자치도 완주군,완주군 공설공원묘지 기반시설 정비 공사,주식회사 효천토건,,,192450120,90.394,213620000,13446193,Y,-3.0,3.0,
R26BK01683840,2026-08-28,경상남도 거제시,고현ㆍ상동지구 재포장공사,주식회사 한려개발,,,74018811,90.333,82000000,4562367,Y,-3.0,3.0,
R26BK01682212,2026-08-27,경상남도 거제시,2026년 숲가꾸기(칡덩굴제거) 2차사업(동부지구),주식회사 거제산림,,,34519000,90.359,37980360,1738691,Y,-3.0,3.0,
R26BK01695559,2026-08-28,전북특별자치도 장수군,계남배수지 농어촌 생활용수 개발사업 수의계약 안내공고,(유)덕원건설,,,325234600,90.823,360404000,36363402,Y,-3.0,3.0,
R26BK01694700,2026-08-28,충청남도 금산군,금산자연치유정원 조성공사(전기),태양전기통신 주식회사,,,96680910,90.565,107940000,7057434,Y,-3.0,3.0,38
R26BK01693110,2026-08-28,세종특별자치시교육청,세종도원초 급식시설 현대화 기계설비공사 수의계약 안내공고,(주)미래티엔에이,,,186331625,90.602,208769000,10616054,Y,-3.0,3.0,34
R26BK01695481,2026-08-28,전북특별자치도 완주군,완주군 공설공원묘지 기반시설 정비 공사,주식회사 효천토건,,,192450120,90.394,213620000,13446193,Y,-3.0,3.0,76
R26BK01683840,2026-08-28,경상남도 거제시,고현ㆍ상동지구 재포장공사,주식회사 한려개발,,,74018811,90.333,82000000,4562367,Y,-3.0,3.0,17
R26BK01682212,2026-08-27,경상남도 거제시,2026년 숲가꾸기(칡덩굴제거) 2차사업(동부지구),주식회사 거제산림,,,34519000,90.359,37980360,1738691,Y,-3.0,3.0,6
R26BK01695559,2026-08-28,전북특별자치도 장수군,계남배수지 농어촌 생활용수 개발사업 수의계약 안내공고,(유)덕원건설,,,325234600,90.823,360404000,36363402,Y,-3.0,3.0,21
R26BK01695706,2026-08-28,강원특별자치도 속초시,도시계획도로(소로1-16호선) 개설공사(청소년문화의집 일원) 석면폐기물 철거공사,세진산업 주식회사,,,25927027,91.092,28567000,1574221,Y,-3.0,3.0,3
R26BK01695614,2026-08-28,전남광주통합특별시 상수도사업본부 동북수도사업소,2026년 긴급누수복구공사 연간단가계약(북구1권역)2차,주식회사남도산업,,,196926767,90.333,220000000,9770121,Y,-3.0,3.0,144
R26BK01697413,2026-08-26,에이치엘만도 주식회사,2026년 HL만도 산업계 에너지관리시스템_계측인프라 구축,하이텍앤솔 주식회사,,,80922600,100.0,,,,,,1
R26BK01694853,2026-08-28,전남광주통합특별시 담양군,2026년 담양 남산리 오층석탑 보존처리,주식회사 한듬문화재,,,69430804,90.433,77000000,3864048,Y,-3.0,3.0,3
R26BK01694628,2026-08-28,경상북도 김천시,대항면 주례2리(주공) 다목적광장 조성공사,주식회사 유신건설,,,36790670,90.399,40600000,2486225,Y,-3.0,3.0,104
R26BK01696044,2026-08-28,충청남도 보령시,섬문화예술플랫폼 진입도로 가로등 설치공사,(주)두산이엔씨,,,44101469,90.418,48173000,2375143,Y,-3.0,3.0,88
R26BK01690826,2026-08-28,울산광역시 북구,창평천(지방하천) 정비사업,우경종합건설 주식회사,,,308704510,90.47,341770000,23706905,Y,-3.0,3.0,142
R26BK01694775,2026-08-28,광주교통공사,2026년 하반기 토목시설물 개량공사 수의견적 제출 안내 공고,삼우건설(주),,,61416400,90.335,68224000,3834645,Y,-3.0,3.0,220
R26BK01695337,2026-08-28,경기도교육청 경기도군포의왕교육지원청,군포신기초 외 1교(당정초) 외부 실링 보수공사,주식회사 가인,,,33321660,90.066,36784000,645216,Y,-3.0,3.0,18
R26BK01695034,2026-08-28,거창군산림조합,2026년 조림지 풀베기사업 2차(마리하고외지구),주식회사 미정임업,,,31353000,89.99,34839000,392155,Y,-3.0,3.0,12
R26BK01694176,2026-08-28,경기도 부천시,2026년도 하반기 불·소출수 등 급수공사(소사권역) 단가계약,동풍건설(주),,,46408200,90.444,51135000,2840306,Y,-3.0,3.0,18
R26BK01695079,2026-08-28,경상남도,산불특수대응단 임시청사 환경개선공사(전기),주식회사 한성전력,,,74079449,90.529,82038000,6239004,Y,-3.0,3.0,1324
R26BK01695046,2026-08-28,거창군산림조합,2026년 조림지 풀베기사업 2차(가북남상지구),엠앤에스산림 주식회사,,,39403700,90.509,43101000,485160,Y,-3.0,3.0,12
R26BK01695803,2026-08-28,강원특별자치도 춘천시,2026년 춘천시 관내 도로노면표시 도색공사(후평지구),주식회사 씨엠에스,,,140033750,90.427,155842000,10018368,Y,-3.0,3.0,105
R26BK01691056,2026-08-28,충남대학교병원,충남대학교병원 제1철골주차장 보수공사(2차-전기),이아이테크,,,212689580,90.373,233889000,14407447,Y,-2.0,2.0,526
R26BK01689402,2026-08-28,산림청 북부지방산림청 민북지역국유림관리소,"2026년 산림복원사업(기번8, 천미) 제한경쟁입찰",춘천시산림조합,,,300219000,87.753,341347000,,N,-2.0,2.0,27
R26BK01687630,2026-08-28,경기도 수원시 권선구,권선동 1070번지 일원 노후 하수관로 교체공사,주식회사 대호스토퍼,,,349492090,90.551,387100000,30084849,Y,-3.0,3.0,987
R26BK01695133,2026-08-28,경상북도 청도군,각북면남산리남북천하상준설공사,청수개발주식회사,,,62559750,90.305,69700000,3353392,Y,-3.0,3.0,39
R26BK01689552,2026-08-28,조달청 대구지방조달청,울진해양경찰서 함정승조원지원시설 전기공사,현대전력 주식회사,,,682360860,90.43,753628000,50361521,Y,-2.0,2.0,1344
