공고번호,날짜,발주기관,공고명,1순위업체,사업자번호,대표자,투찰금액,투찰률,기초금액,A값,A값적용,예가하한,예가상한,참가업체수
R26BK01613758,2026-07-08,코레일유통(주),덕계역 맞이방 편의점 전기내선공사,주식회사 진엔지니어링,,,46244680,90.262,,,,,,
R26BK01612887,2026-07-08,충청북도 진천군,군도1호선(계산리) 도로정비공사,근화산업개발 주식회사,,,34072500,90.614,,,,,,
R26BK01613367,2026-07-08,충청남도교육청 충청남도서산교육지원청,서산서림유치원 조리실 환기설비개선 기계설비공사,(주)제일통상,,,60823000,90.276,,,,,,
R26BK01613537,2026-07-08,강원도 고성군산림조합,2026년 조림지 풀베기사업(1-1지구),주식회사백두개발,,,136493431,91.178,,,,,,
R26BK01613617,2026-07-08,경상북도 구미시,선산읍 화조리(리도208호선) 도로확장공사,주식회사부청,,,189620143,90.494,,,,,,
R26BK01612679,2026-07-08,강원특별자치도 정선군,임계 농어촌도로 101호(도전리) 포장공사,수도건설합자회사,,,47265800,90.152,,,,,,
R26BK01613987,2026-07-08,대전도시공사,평촌일반산업단지 추가공사,대청토건(주),,,109808000,90.42,,,,,,
R26BK01613842,2026-07-08,충청북도 청주시 청원구,원통리 536번지 일원 인도설치공사,장백건설(주),,,27710270,90.378,,,,,,
R26BK01613281,2026-07-08,부산광역시교육청 부산광역시서부교육지원청,효림초등학교 교무실개선공사 소액수의 전자견적 공고,유정개발 주식회사,,,67114031,90.155,,,,,,
R26BK01612753,2026-07-08,강원특별자치도 정선군,정선 애산리(하나로마트 앞) 회전교차로 조성공사,주식회사 은진종합건설,,,283086200,91.641,,,,,,
R26BK01614040,2026-07-08,대구광역시 도시건설본부,안심도시개발사업지구 북편 도로건설(2단계) 전기공사,삼영전설 주식회사,,,106815159,90.28,,,,,,
R26BK01607168,2026-07-07,경상남도교육청 경상남도함양교육지원청,함양중학교 수전설비 교체 전기공사,주식회사 교산전기공사,,,32932404,90.174,,,,,,
R26BK01610146,2026-07-08,경기도교육청 경기도군포의왕교육지원청,[긴급] 산본고 러닝허브 증축공사,주식회사 여명,,,750724000,90.325,,,,,,
R26BK01614202,2026-07-08,한국철도공사 회계통합센터,★실적제한/철도신호기술자보유★영동선 임기-현동간 등 5개소 AF궤도회로 개량 기타공사,구문전력 주식회사,,,804088660,90.373,,,,,,
R26BK01614433,2026-07-08,충청북도 청주시 서원구,2026년 상반기 서원구 지붕형 승강장 설치공사,대신건설산업(주),,,27816700,89.978,,,,,,
R26BK01614078,2026-07-08,전북특별자치도 군산시,월명공원 점방산 전망대 정비사업,유한회사 신일,,,61866000,91.271,,,,,,
R26BK01612717,2026-07-08,충청북도교육청 충청북도괴산증평교육지원청,괴산교육도서관 내진보강공사,(주)우원종합건설,,,228603000,90.286,,,,,,
R26BK01612916,2026-07-08,울산광역시 북구,"2026년 배수로 준설공사 단가계약 (비농소권, 2차)",정현이엔지 주식회사,,,44872000,90.741,,,,,,
R26BK01611696,2026-07-08,충청남도 천안시,"수신면 장산1,2 배수펌프장 사무실 신축공사(건축)",주식회사 선우건설,,,195445074,90.291,,,,,,
R26BK01612084,2026-07-08,부산광역시교육청 부산광역시북부교육지원청 신명초등학교,신명초등학교 화변기 교체 공사,주식회사 청진시스템,,,73376289,89.93,,,,,,
R26BK01611255,2026-07-08,서울특별시교육청 반포고등학교,반포고등학교 AI중점교실 구축 및 복도바닥 환경개선공사,주식회사 하나건설,,,371818870,90.049,,,,,,
R26BK01609860,2026-07-08,제주특별자치도 제주시,제주시 서부지역 현수막 지정게시대 슬로건 교체 공사,디자인겟,,,59478580,90.086,,,,,,
R26BK01613216,2026-07-08,충청북도 음성군,2026 도민체전 대비 음성체육관 리모델링 및 보수공사(건축),주식회사 세움종합건설,,,308412600,90.428,,,,,,
R26BK01610700,2026-07-08,과학기술정보통신부 우정사업본부 우정사업조달센터,위미우체국 건립 정보통신공사,주식회사 디오정보통신,,,80132670,90.32,,,,,,
R26BK01612617,2026-07-08,강원특별자치도 평창군,평창 종합운동장 관리동 화장실 보수 기계설비공사,두원건설 주식회사,,,38284200,90.495,,,,,,
R26BK01614576,2026-07-08,대전도시공사,대전바이오에너지센터 스크류프레스 탈수기 배관공사,주식회사 누리테크,,,44817590,90.175,,,,,,
R26BK01611040,2026-07-08,전라남도교육청 순천효천고등학교,순천효천고 기숙사복도 바닥 보수공사,유한회사 이남자리하우스,,,73552530,90.009,,,,,,
