공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01540033,2026-06-01,경상북도영천교육청 성남여자중학교,성남여자중학교 그린스마트스쿨 사업 본관동 리모델링 공사(소방),(주)성창전기,107062440,90.28,
R26BK01543907,2026-06-01,경기도 남양주시,정약용유적지 수장시설 조성공사,고금건설주식회사,79591900,90.264,
R26BK01539677,2026-06-01,부산광역시교육청,학생인성교육체험장 환경개선 전기공사,주식회사 일우전기,108856198,90.415,
R26BK01543182,2026-06-01,충청북도 괴산군,불정사현농로포장공사,주광건설(주),21748000,90.127,
R26BK01539686,2026-06-01,전북특별자치도 순창군,추령권 관광자원화 사업,주식회사 강산,2123934421,89.605,
R26BK01537206,2026-06-01,충청남도 공주시,박찬호야구장 앞 신호등 설치공사,문화전기기업사,24879420,90.277,
R26BK01542312,2026-06-01,경기도 평택시,무형유산 전수교육관 조경 유지관리 공사,미우조경개발주식회사,36102350,90.325,
R26BK01542930,2026-06-01,충청남도 서산시,2026년 양묘장 유지관리사업,신영조경,22370990,90.819,
R26BK01539885,2026-06-01,청주산림조합,2026년 조림지 풀베기사업(2회베기)(옥산지구),주식회사 벽원산림,71745400,90.298,
R26BK01543275,2026-06-01,충청북도 괴산군,장연장암소하천정비공사,순흥건설(주),28231000,90.287,
R26BK01543488,2026-06-01,전남광주통합특별시 화순군,화순읍 교리교차로 회전교차로 설치사업,주식회사 거성건설,162817400,90.32,
R26BK01539622,2026-06-01,청주산림조합,2026년 조림지 풀베기사업(2회베기)(운용종암외지구),다인산림 유한회사,69285348,90.409,
R26BK01539382,2026-06-01,논산계룡산림조합,2026년 어린나무가꾸기사업,주식회사 산애숲,144328100,89.985,
R26BK01539843,2026-06-01,청주산림조합,2026년 조림지 풀베기사업(2회베기)(오송옥산지구),(주) 대보산림산업개발,67839000,90.359,
R26BK01542970,2026-06-01,충청남도 서산시,테크노밸리 가로수 보호틀 제초사업,대양건설주식회사,32935207,90.552,
R26BK01544281,2026-06-01,경기도 안성시 주거환경국 상수도과,급수취약지역(죽산면 대근마을 일원) 수도시설 확충사업,주식회사 창대건설,101278590,90.439,
