공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01405367,2026-03-31,서울특별시,2026년 용산공원 활성화 프로그램 운영 용역,주식회사 아임브릿지,156800000,,
R26BK01310062,2026-03-31,조달청,서재 생활문화센터 건립 기본 및 실시설계 용역,주식회사 건축사사무소학건축,0,,
R26BK01374738,2026-03-31,재단법인 전북테크노파크,2026년 신재생에너지 박람회 대행 용역,주식회사 엠커뮤니케이션,190000000,,
R26BK01401449,2026-03-31,한국보건산업진흥원,2026년 질병관리청 소관 국가연구개발사업 전략계획 및 성과관리·활용계획 수립,주식회사 미래비전그룹,58900000,,
R26BK01371601,2026-03-26,재단법인 서울관광재단,2026 청계천 미디어아트 전시 운영 용역,주식회사 컬처웨이,731418600,,
R26BK01349049,2026-03-20,서울특별시,중증 뇌병변·중복장애인 안심돌봄 인프라 신축 타당성 학술연구 용역,인천대학교 산학협력단,170000000,,
R26BK01400685,2026-03-30,질병관리청 국립보건연구원,[정보화] 역학조사 데이터 관리를 위한 통합 연계 체계 개발,주식회사 베데스다소프트,81340000,,
R26BK01401717,2026-03-31,한국보건산업진흥원,감염병연구포럼 등 행사 개최 및 연계협력,주식회사 굿포유,49500000,,
R26BK01408268,2026-03-31,조달청 대전지방조달청,2025년 4분기 문화체육관광 일자리 현황조사,한국문화관광연구원,131550000,,
R26BK01386803,2026-03-26,서울특별시 의회사무처,서울특별시 의정연구원 설립 및 운영 방안 연구,한양대학교 산학협력단,39870000,,
R26BK01373245,2026-03-24,해양수산부 국립수산과학원 중앙내수면연구소,담수 관상어 질병진단 표준화 연구,국립공주대학교 산학협력단,130000000,,
R26BK01377424,2026-03-09,(재)대한불교조계종 유지재단,예천 한천사 지장시왕도 보존처리 용역,주식회사 두영문화유산보존,82000000,,
R26BK01377465,2026-03-09,(재)대한불교조계종 유지재단,고흥 금탑사 팔상도(쌍림열반상) 보존처리 용역,정재문화재보존연구소,80000000,,
R26BK01351120,2026-03-09,연성대학교 산학협력단,[2026 신산업] 연성대학교 CLD-Master 퍼블릭클라우드 환경 운영 용역,주식회사 넥스트클라우드,99950000,99.95,
R26BK01380006,2026-03-30,충청남도 당진시,2026년 당진 국가유산 야행 행사 용역 입찰 공고(협상에의한계약)(긴급),주식회사 문화상상연구소,240000000,,
R26BK01408837,2026-03-19,(재)대한불교조계종 유지재단,2026년 중앙승가대학교 수장고 환경정비 수장환경개선 위탁용역,사단법인 성보문화유산연구원,40000000,,
R26BK01408898,2026-03-19,(재)대한불교조계종 유지재단,문화유산 예방적 관리 용역,(주)엔가드,63000000,,
R26BK01408973,2026-03-19,(재)대한불교조계종 유지재단,서울 조계사 대웅전 벽화 천정벽화도 보존처리 용역,(주)엔가드,118000000,,
R26BK01408756,2026-03-19,(재)대한불교조계종 유지재단,2026년 해인사 백련암 장경각 환경정비 수장환경개선 위탁용역,사단법인 성보문화유산연구원,23000000,,
R26BK01380993,2026-03-23,산림청 국립산림과학원,(용역)산불피해지 식생 및 종조성 변화 조사,자연과숲연구소주식회사,39897000,,
R26BK01381137,2026-03-31,재단법인 경북아이티융합 산업기술원,2026년 기업수요맞춤형훈련 직무분석 및 훈련과정 개발,(유)미래비즈니스아카데미,118000000,,
R26BK01374311,2026-03-31,조달청,(연구용역)2026년 농어업인 등 복지실태 현지조사,코뮤니타스,349460000,,
R26BK01368748,2026-03-20,대법원,"준강간, 준강제추행죄 피해자의 각성 시 기억의 특성, 진술의 신빙성 판단 요소 및 기준에 관한 연구 용역",성균관대학교 산학협력단,48000000,,
R26BK01326511,2026-03-23,재단법인 한국공예디자인문화진흥원,2026 한복상점 종합운영대행,주식회사 경동기획,769000000,,
R26BK01325518,2026-03-25,조달청 서울지방조달청,2026년 경제안보 민관협의체 운영 및 협력방안 연구 운영,산업연구원,120000000,,
R26BK01402076,2026-03-30,재단법인전남테크노파크,(새로운공고) 2026년 전남 소상공인 IP창출지원(출원지원) 용역-A분야,화려특허법률사무소,60060000,,
R26BK01363344,2026-03-30,익산시 상권활성화 사업단,익산다e로움 상권르네상스 다이로움 거리 조성 및 운영 콘텐츠 제작 용역,주식회사 디자인그룹프레즌트,627000000,,
R26BK01367340,2026-03-25,전남광주통합특별시 영암군,신북면 도시재생 활성화계획 수립 용역(협상에의한계약) 제안서 제출안내 공고,지오시티(주),109040000,,
R26BK01379896,2026-03-20,재단법인 한국공예디자인문화진흥원,2026년 한류연계 협업콘텐츠(한복) 기획개발 종합운영대행,주식회사 컵아이앤엠,766000000,,
R26BK01318870,2026-03-04,사회복지법인 굿네이버스,2026년 사회복지법인 굿네이버스 여아지원사업 소녀생각 KIT 제작 및 배송업체 선정,주식회사 청밀,300000000,,
R26BK01390862,2026-03-24,서울특별시 인재개발원,2026년도 서울특별시 지방공무원 임용시험 인성검사 용역,주식회사 오알피연구소,72369000,,
R26BK01386059,2026-03-30,한국사회보장정보원,2026~2028회계연도  한국사회보장정보원 외부 회계감사인 선임,회계법인 늘봄,61380000,,
R26BK01373314,2026-03-26,서울특별시,2026년 고립·은둔청년 지킴이 양성교육 운영 용역,사단법인 파이나다운청년들,291000000,,
R26BK01384273,2026-03-31,보건복지부 국립재활원,통합돌봄 서비스에 활용가능한 AI 기반 지역사회 재활 기술 및 서비스 개발 사업 기획 연구,한국과학기술정책플랫폼협동조합,67000000,,
R26BK01411072,2026-03-31,해양수산부,국가 해양전략 수립,한국해양수산개발원,100000000,,
R26BK01395437,2026-03-27,산림청 국립산림과학원,(용역)인왕산 산불피해지 소나무림 복원처리별 생육특성 모니터링,해밀 산림생태입지연구소(산림기술사사무소),25100000,,
R26BK01391836,2026-03-31,조달청 서울지방조달청,아산경찰병원 의료·운영계획 연구용역,삼일회계법인,385000000,,
R26BK01306904,2026-03-12,(사)한국야구위원회,2026 KBO 리그 홍보 스팟 영상 제작,주식회사 하트피플,155000000,100.0,
R26BK01335316,2026-03-25,한국뇌연구원,실험동물(마우스) 미생물 모니터링 용역(단가계약),"주식회사 옵티팜(Optipharm.CO.,LTD)",229915840,96.72,
R26BK01356783,2026-03-19,경기도 성남시,삼평동 725 유휴부지 기본계획 및 사전 타당성조사 용역(협상에 의한 계약),주식회사 비콘힐엔지니어링건축사사무소,166320000,,
R26BK01399620,2026-03-31,조달청 서울지방조달청,[지원] 뇌졸중 환자(또는 장애인)의 회복을 위한 AI기반 하지재활 다기능(평가훈련예후추정) 평가 및 훈련 시스템 개발 및 검증,대구한의대학교산학협력단,363000000,,
R26BK01380100,2026-03-20,재단법인 한국공예디자인문화진흥원,2026년 한복산업 실태조사 운영 대행,주식회사 케이스탯컨설팅,100000000,,
R26BK01343814,2026-03-03,해양수산부,국가어항 미래 기후변화 대응 안전망 구축 용역,주식회사 대영엔지니어링,2486000000,,
R26BK01342007,2026-03-12,서울특별시 강남구,(협상에 의한 계약) 2026 강남유닉투어 기획·운영 용역,주식회사 리프,98181600,,
R26BK01400012,2026-03-30,재단법인 한국공예디자인문화진흥원,2026년 재외공간 한식문화(식기문화) 보급 종합운영대행,주식회사 공공프리즘,178000000,,
R26BK01402054,2026-03-30,재단법인전남테크노파크,(새로운 공고) 2026년 전남 소상공인 IP창출지원(출원지원) 용역-B분야,세청아이피엔특허법률사무소,54174582,,
R26BK01357302,2026-03-10,서울특별시,2026 서울형 감염제로 조리환경 컨설팅 용역,푸드원텍(주),65000000,,
R26BK01344612,2026-03-12,재단법인2026여수세계섬박람회조직위원회,2026 국제섬포럼 in YEOSU KOREA 행사 대행 용역[협상에 의한 계약],(주)무등커뮤니케이션,118200000,,
R26BK01409498,2026-03-30,중소기업은행,IBK카드앱 內 쇼핑 서비스 제휴사 선정,주식회사 비즈마켓,0,,
R26BK01381991,2026-03-31,서울특별시 금천구,독산동 1022번지 일대 주택재개발 정비계획 수립 및 정비구역 지정 용역,주식회사 비엠도시건축사사무소,564510000,,
R26BK01273661,2026-03-20,제주특별자치도교육청 서귀포시교육지원청,효돈초 복합체육관 증축공사 설계용역,주식회사 아란건축사사무소 앤 파트너,0,,
R26BK01396610,2026-03-27,전남광주통합특별시 광산구,2026년 광산아카데미 운영 용역(협상),사단법인 인문연구원 동고송,42999000,,
R26BK01392105,2026-03-13,한국농어촌공사 전남지역본부 영암지사,지역특화 임대형 스마트팜 조성사업(온실조성) 건설폐기물처리 용역,주식회사 환경산업,9340000,91.992,
R26BK01397783,2026-03-31,서울특별시 의회사무처,서울시 노동기본계획에 대한 평가와 개선방안,사단법인 한국행정학회,39800000,,
R26BK01360840,2026-03-06,한국여행업협회,2026년 여행업 종사자 직무역량 강화 교육 운영,한국생산성본부,381150000,99.0,
R26BK01355934,2026-03-09,인천광역시 옹진군,(협상에 의한 계약)백령다움 콘텐츠 구축 용역,주식회사 플러스스페이스,985000000,,
R26BK01397202,2026-03-27,해양수산부 목포지방해양수산청,목포지방해양수산청 항만시설물 및 건설현장 안전컨설팅용역,주식회사 도화엔지니어링,323000000,84.99,
R26BK01377296,2026-03-31,(재)경남로봇랜드재단,2026 로봇랜드 테마파크 여름축제 조성 및 운영 용역,주식회사 이앤웍스,115000000,,
R26BK01379796,2026-03-20,충청북도 청주시,2026 힙한 청주 페스티벌 in 제조창 행사대행용역 [긴급],주식회사 프롬에이스,219900000,,
R26BK01358044,2026-03-31,우주항공청,탐사 임무 모델 기반 시스템 엔지니어링  및 디지털 트윈 도입방안 기획 연구 용역,한성대학교 산학협력단,95000000,,
R26BK01384581,2026-03-23,사단법인 한국정보통신진흥협회,부울경 ICT 경진대회 통합 운영,(주)마이스플랜즈,40800000,,
R26BK01390453,2026-03-24,사단법인 한국정보통신진흥협회,2026년 WFK NIPA자문단 해외파견자 항공권 구매 및 비자 발급 대행,주식회사 더 웰컴,70000000,,
R26BK01393151,2026-03-24,인천광역시 옹진군,사곶해변 복합공간 조성사업 기본 및 실시설계용역(협상에 의한 계약) 재공고,쿠움건축사사무소,250000000,,
R26BK01367507,2026-03-18,재단법인 한국만화영상진흥원,2026 박물관자료(고만화) 고화질 이미지 구축 및 관리 용역,주식회사 유니크스튜디오,72449300,,
R26BK01370594,2026-03-12,친환경농산물의무자조금관리위원회,"친환경농업 인식 제고 및 가치확산을 위한 행사 기획, 운영 협력사 선정 재공고",사단법인 한국친환경농업협회,228580000,,
R26BK01380631,2026-03-20,통도사,2026년 세계유산 통도사 홍보지원사업 운영 대행 용역,인플랩 주식회사,184000000,,
R26BK01374914,2026-03-17,충청남도 아산시,아산시 차세대 통합 스포츠포털 구축 용역,(주)혁산정보시스템,276000000,,
R26BK01398174,2026-03-27,부산광역시 남구,제17회 평화공원 국화전시회 연출 용역(협상에의한계약),주식회사 윤토,140000000,,
R26BK01257753,2026-03-16,한국환경공단,서귀포시 가축분뇨 공공처리시설 증설사업 실시설계(설계공모),주식회사 삼안,0,,
R26BK01343255,2026-03-23,경상남도 진주시,명석지구 체육시설 조성사업(건축) 설계공모(제안공모),시건축사사무소,0,,
R26BK01404944,2026-03-30,충청북도 옥천군,2026년 옥천군 장령산 산림치유 두드림캠프 운영사업 용역(협상에의한계약),농업회사법인 주식회사 동행,24624000,,
R26BK01404066,2026-03-30,재단법인성남시상권활성화재단,성남시 상권 및 소상인 홍보·마케팅 사업(협상에 의한 계약),주식회사 위더,54600000,,
R26BK01361086,2026-03-12,사단법인 한국원전수출산업협회,미국 원전정책 및 시장 동향 분석,글나무 주식회사,114000000,,
