공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01366805,2026-03-20,성결대학교,2026-5호 성결대학교 기숙사 신축 공사(전기),(주)신화전공,2007900000,87.757,
R26BK01370130,2026-03-23,성결대학교,2026-6호 성결대학교 기숙사 신축 공사(통신),주식회사 네오비젼,1399925950,88.659,
R25BK01197032,2026-03-10,조달청,(가칭) 송담고등학교 신축공사,대보건설(주),63611000000,,
R25BK01143006,2026-03-13,조달청,벡스코 제3전시장 건립사업,(주)에이치제이중공업,257202000000,,
R26BK01377327,2026-03-30,전북특별자치도 장수군,레드푸드 어울림관 조성사업 건축 기본 및 실시설계 용역(제안설계공모),주식회사 인터아키건축사사무소,0,,
R26BK01330529,2026-03-24,사단법인 한국정보통신진흥협회,국산 AI반도체 기반 AX 디바이스 개발·실증 사업 성과확산 및 시장연계 운영,주식회사 원트리즈뮤직,310400000,,
R26BK01328875,2026-03-23,충청남도 서산시,서산시 해미면 농촌중심지활성화사업 지역역량강화 용역,주식회사 지역플러스,4145216000,,
R26BK01372513,2026-03-17,사단법인 한국정보통신진흥협회,생성형AI 이용자 참여플랫폼 모바일 어플리케이션(APP) 개발,한국제이에스데이터시스템즈(주),34000000,,
R26BK01354890,2026-03-18,충청남도 아산시,2026년 아산시 보호구역 실태조사 용역,주식회사 더원이엔지,241300000,,
R26BK01354779,2026-03-18,재단법인홍주문화관광재단,로컬콘텐츠 브랜드업 로컬 상품 패키징 고도화(1차) 용역,주식회사 공공공간,149000000,,
R26BK01384762,2026-03-23,사단법인 한국정보통신진흥협회,고성능 컴퓨팅 지원사업 설문조사 수행 및 분석,주식회사 리서치앤리서치,39000000,,
R26BK01404970,2026-03-30,사단법인 한국정보통신진흥협회,중고 단말 산업 활성화 기반 조성 사업 홍보 대행,(주)위트커뮤니케이션,64200000,,
R26BK01398175,2026-03-27,재단법인 한국공예디자인문화진흥원,K-브랜드 융복합 행사 연계 한복 특화 전시 및 프로그램 기획·운영,주식회사 컵아이앤엠,695000000,,
R26BK01392124,2026-03-24,식품의약품안전처,바이오의약품 원료물질 인증 지원 사업,백신안전기술지원센터,79000000,,
