공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01486977,2026-05-04,대구광역시 상수도사업본부 매곡정수사업소,정수시설물 안전사다리 설치공사,주식회사 군위건설기계,211657850,90.225,
R26BK01486442,2026-05-04,경기도 성남시 분당구,동원터널 등 3개소 경보설비 개선공사,제이디네트워크 주식회사,298172000,90.254,
R26BK01490308,2026-05-04,충청남도교육청 충청남도보령교육지원청,보령교육지원청 청사 상시전원 분리 및 기타 전기공사,주식회사 나웅테크,153402736,90.377,
R26BK01489688,2026-05-04,충청북도 음성군,햇사레 벚꽃길 전망 포토존 조성,태훈건설 주식회사,226245290,90.31,
R26BK01492086,2026-05-04,충청남도 서산시,관유리 배수로 정비사업,대교포장건설주식회사,50343473,90.468,
R26BK01491900,2026-05-04,경상북도 영주시,이산면 운문1리 간운지구 용수개발사업,주식회사 서진건설,76138060,90.631,
R26BK01486516,2026-05-04,전북특별자치도 익산시 상하수도사업단,2026년 우기철 대비 하수도 기계준설공사 단가계약(인화동 3구간),주식회사 삼일공사,608518,90.334,
R26BK01491217,2026-05-04,경상북도 구미시,임오체육공원 등 2개소 편익시설(화장실) 개선사업,주식회사 산수이조경,43145255,90.537,
R26BK01491986,2026-05-04,전남광주통합특별시 무안청사,전남소방본부 소방무선국 보강공사,엔에스인포 주식회사,66374712,89.913,
R26BK01488910,2026-05-04,충청남도 아산시,산전천 수해복구공사,유한회사 신화건설,50846717,89.956,
R26BK01492724,2026-05-04,서울특별시 강남구,2026년 도담어린이공원 재조성공사,원하건설 주식회사,654289400,90.348,
R26BK01491717,2026-05-04,충청남도 보령시,2026년 주요 녹지대 유지관리사업,태화산업(주),140078488,90.489,
R26BK01491750,2026-05-04,경상북도 영주시,이산면 운문2리 섬밭골 일원 용배수로 정비공사,주식회사 디에스건설,30788210,90.277,
R26BK01487215,2026-05-04,경기도 안성시 죽산면,당목천 소규모 준설공사,주식회사 화준건설,84084410,90.689,
R26BK01491509,2026-05-04,한국농어촌공사 경남지역본부 함안지사,사평마을만들기사업 조경공사,유진종합건설 주식회사,267707000,90.262,
R26BK01489074,2026-05-04,전남광주통합특별시 진도군,세방낙조 아트문화 관광명소 신축공사(총괄분 및 1차분),신화산림 주식회사,6818292000,88.767,
R26BK01490648,2026-05-04,강원특별자치도 화천군,2026년 수리시설 개보수사업(논미리 1287번지 일원 용수로),제이에이치주식회사,31131100,90.378,
R26BK01502265,2026-05-04,한국농어촌공사 충남지역본부 논산지사,장화지구 등 7개소 유지관리공사,주식회사 경,19857000,90.394,
R26BK01480776,2026-05-04,산림청 동부지방산림청 영월국유림관리소,2026년 구조개량사업(법흥),주식회사 시영,262164000,87.745,
R26BK01488002,2026-05-04,충청남도 서천군,비인 농어촌도로 208호 외 5개소 호우피해 복구공사,주식회사 대양토건,33815000,90.559,
R26BK01489032,2026-05-04,충청남도 공주시,공주목 의생방 복원사업,여원건설 주식회사,609231000,90.446,
R26BK01488949,2026-05-04,충청북도 음성군,2026년 산업단지공원 및 녹지 유지관리사업(2구역),주식회사 동림,86406500,90.553,
R26BK01488861,2026-05-04,충청남도 홍성군,2026년 간선임도사업(서부 이호지구),주식회사 참솔,114875925,91.545,
R26BK01491957,2026-05-04,강원특별자치도 삼척시,삼척활기치유의숲 숲체험장 정비공사,명강건설 주식회사,26756580,90.48,
R26BK01492000,2026-05-04,전남광주통합특별시 나주시,빛가람동 영무예다음~대광 로제비앙 사잇길 배수로 신설 사업,주식회사 동현건설,44266200,90.327,
R26BK01487702,2026-05-04,부산광역시 강서구,2026년 구청사 일원 녹지대 유지관리 공사,동아조경,205510000,90.68,
R26BK01492837,2026-05-04,경기도교육청 경기도구리남양주교육지원청,남양주월산초 옥상방수공사,하이콘산업 주식회사,243536000,90.338,
R26BK01492113,2026-05-04,전남광주통합특별시 완도군,지방어항(약산 장용항) 물양장 정비공사,아리건설(유),100546528,90.318,
R26BK01472342,2026-05-04,울산광역시 남부소방서,2026년 소방용수시설 신설 공사,힐티엔지니어링(주),69992000,90.13,
R26BK01488951,2026-05-04,충청북도 음성군,2026년 산업단지공원 및 녹지 유지관리사업(3구역),주식회사오성건설,70577376,90.312,
R26BK01492579,2026-05-04,경기도교육청 경기도구리남양주교육지원청,풍양중 옥상방수공사,(주)분도건설,240844891,90.345,
R26BK01489012,2026-05-04,경상남도 함안군 상하수도사업소,함안군 집중강우 중점관리구역 추락방지시설 설치 공사(오수),도원건설 주식회사,118976530,90.922,
R26BK01491396,2026-05-04,충청북도 음성군,생극 송곡2리 마을정비공사,한주건설(주),32036530,90.33,
R26BK01489942,2026-05-04,경상북도 안동시,풍산읍 괴정리 괴정양수장 보수공사,주식회사 서문건설,121088700,90.3,
R26BK01491660,2026-05-04,경상북도,오미자 표준비가림 시설공사,주식회사 청라,116586370,90.086,
R26BK01490035,2026-05-04,충청북도 청주시 상당구,금천동 195-19번지 일원 보도정비 공사,정암건설 주식회사,21725519,90.171,
R26BK01488839,2026-05-04,충청북도 옥천군 청산면,청산 효림리 용수로 개보수사업 입찰공고,대웅개발(주),27564300,90.147,
R26BK01489481,2026-05-04,경기도 성남시,판교지역 공원 배수로 준설공사,(주)태광엔텍,123120800,90.53,
R26BK01489894,2026-05-04,경상북도 안동시,단호샌드파크 관리사무소 신축공사(설비),주식회사 유성이엔씨,91759000,90.267,
R26BK01489826,2026-05-04,경상남도 의령군,퇴계선생 처갓집 가는 길 조성사업,주식회사 디엘건설,614337570,90.473,
R26BK01490068,2026-05-04,경기도 의왕시,장난감도서관 오전점 리모델링공사(전기),주식회사 흥진전력,22718594,90.352,
R26BK01490346,2026-05-04,인천광역시 남동구,운연동 음실천 중·소하천 정비사업,알파건설(주),83065310,90.37,
R26BK01486510,2026-05-04,전북특별자치도 익산시 상하수도사업단,2026년 우기철 대비 하수도 기계준설공사 단가계약(인화동 2구간),(유)광우건설,600691,90.659,
R26BK01491902,2026-05-04,전남광주통합특별시 완도군,금일 화목지구 진입도로 확포장사업(1지구),한서건설 주식회사,301622054,90.301,
R26BK01486534,2026-05-04,전북특별자치도 익산시 상하수도사업단,2026년 익산시 맨홀추락방지시설 설치사업,(주)건지토건,55449000,90.354,
R26BK01499206,2026-05-04,서울물재생시설공단,서남센터 안전진단 부적합사항 정비 공사,주식회사 유지전기공사,17991000,90.0,
R26BK01486520,2026-05-04,전북특별자치도 익산시 상하수도사업단,이리남중학교 사거리 하수관로 정비공사,유한회사 보건,39924500,90.242,
R26BK01488101,2026-05-04,충청남도 서천군,판교면 등고리 옹벽블럭 설치공사,주식회사 부흥건설,27057800,90.447,
R26BK01486036,2026-05-04,한국공항공사 김해공항,울산공항 계류장조명등 개선공사,일중전기주식회사,34679456,89.889,
R26BK01474573,2026-05-04,국가유산청 궁능유적본부,고양 서오릉 내 홍릉명릉 수복방 단청복원공사,세헌건설 주식회사,115461750,90.287,
R26BK01501756,2026-05-04,한국농어촌공사 전남지역본부 담양지사,광주호 동부간선 2호 방수문 전동구동장치 교체공사,주식회사한림산업개발,8128000,90.001,
R26BK01486091,2026-05-04,국립한밭대학교,국립한밭대학교 글로컬 용접센터 구축공사(건축토목),우강건설 주식회사,853095700,90.331,
R26BK01491686,2026-05-04,경상북도 영주시,술바위교차로 외 1개소 노후신호기 교체 공사,주식회사 고려전기,143327308,90.761,
R26BK01494501,2026-05-04,경기도 남양주시 도로관리사업소,[긴급] 시도12호선 봉선사천 제방유지보수공사,승용토건(주),246442990,90.77,
R26BK01491687,2026-05-04,충청남도 보령시,2026년 관광지 녹지대 유지관리사업,유한회사 대원조경,142968000,90.628,
R26BK01485479,2026-05-04,인천항만공사,2026년 인천항 전기시설 보수공사,화성전기건설(주),567093120,90.195,
R26BK01482175,2026-05-04,경기도 고양시,일산로 보도육교 정비사업,주식회사 이화기업,359166108,90.88,
R26BK01489785,2026-05-04,경기도교육청 경기도구리남양주교육지원청,다산가람초 교사동 옥상 방수공사,주식회사 삼연,279127700,90.343,
R26BK01485966,2026-05-04,경상북도 고령군,왕정길(고령초등학교)가로경관 개선사업,주식회사 경동건설,349972421,90.437,
R26BK01467043,2026-05-04,경상남도,국도24호선 남강교 내진보강공사,주식회사 조광지질,1234173500,89.55,
R26BK01488947,2026-05-04,충청북도 음성군,2026년 근린공원 유지관리사업(2구역),우림건설 주식회사,81201250,90.405,
R26BK01489588,2026-05-04,경기도 양평군 용문면,흑천 산책로 보행환경 개선공사,동원건설(주),98812900,90.393,
R26BK01486463,2026-05-04,경기도 양주시,노인복지통합지원센터 리모델링 공사(건축),부소종합건설(주),744491000,90.231,
R26BK01480425,2026-05-04,산림청 동부지방산림청 영월국유림관리소,2026년 구조개량사업(화원),주식회사 시영,431140000,87.813,
R26BK01472036,2026-05-04,재단법인 경북테크노파크,농업용무인기기술지원센터(증축) 통신공사,(주)앤플러스시스템,309330450,90.456,
